општина,конто,опис конта,република ,аутономна покрајина,општина града,ООСО,донације,остали извори,укупно
НОВИ САД,484,НАКНАДА ШТЕТЕ ЗА ПОВРЕДЕ ИЛИ ШТЕТУ НАСТАЛУ УСЛЕД ЕЛЕМЕНТАРНИХ НЕПОГОДА ИЛИ ДРУГИХ ПРИРОДНИХ УЗРОКА (5333 + 5334),0,0,0,0,0,6,6
НОВИ САД,485,НАКНАДА ШТЕТЕ ЗА ПОВРЕДЕ ИЛИ ШТЕТУ НАНЕТУ ОД СТРАНЕ ДРЖАВНИХ ОРГАНА (5336),0,0,0,0,0,60,60
НОВИ САД,489,РАСХОДИ КОЈИ СЕ ФИНАНСИРАЈУ ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5338),0,0,0,0,0,0,0
НОВИ САД,511,ЗГРАДЕ И ГРАЂЕВИНСКИ ОБЈЕКТИ (од 5342 до 5345),0,51913,4000,0,10,54,55977
НОВИ САД,512,МАШИНЕ И ОПРЕМА (од 5347 до 5355),2701,62931,0,0,17700,4308,87640
НОВИ САД,513,ОСТАЛЕ НЕКРЕТНИНЕ И ОПРЕМА (5357),0,0,0,0,0,0,0
НОВИ САД,514,КУЛТИВИСАНА ИМОВИНА (5359),0,0,0,0,0,0,0
НОВИ САД,515,НЕМАТЕРИЈАЛНА ИМОВИНА (5361),419,87680,0,0,6639,2637,97375
НОВИ САД,521,РОБНЕ РЕЗЕРВЕ (5364),0,99950,0,0,0,350,100300
НОВИ САД,522,ЗАЛИХЕ ПРОИЗВОДЊЕ (од 5366 до 5368),0,0,0,0,0,0,0
НОВИ САД,523,ЗАЛИХЕ РОБЕ ЗА ДАЉУ ПРОДАЈУ (5370),0,0,0,0,0,815,815
НОВИ САД,531,ДРАГОЦЕНОСТИ (5373),0,0,0,0,0,0,0
НОВИ САД,541,ЗЕМЉИШТЕ (5376),0,0,0,0,0,0,0
НОВИ САД,542,РУДНА БОГАТСТВА (5378),0,0,0,0,0,0,0
НОВИ САД,543,ШУМЕ И ВОДЕ (5380 + 5381),0,0,0,0,0,0,0
НОВИ САД,551,НЕФИНАНСИЈСКА ИМОВИНА КОЈА СЕ ФИНАНСИРА ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5384),300000,6955401,0,0,0,0,7255401
НОВИ САД,611,ОТПЛАТА ГЛАВНИЦЕ ДОМАЋИМ КРЕДИТОРИМА (од 5388 до 5396),0,0,0,0,0,0,0
НОВИ САД,612,ОТПЛАТА ГЛАВНИЦЕ СТРАНИМ КРЕДИТОРИМА (од 5398 до 5404),0,0,0,0,0,0,0
НОВИ САД,613,ОТПЛАТА ГЛАВНИЦЕ ПО ГАРАНЦИЈАМА (5406),0,0,0,0,0,0,0
НОВИ САД,614,ОТПЛАТА ГЛАВНИЦЕ ЗА ФИНАНСИЈСКИ ЛИЗИНГ (5408),0,0,0,0,0,0,0
НОВИ САД,621,НАБАВКА ДОМАЋЕ ФИНАНСИЈСКЕ ИМОВИНЕ (од 5411 до 5419),0,1146863,0,0,0,0,1146863
НОВИ САД,622,НАБАВКА СТРАНЕ ФИНАНСИЈСКЕ ИМОВИНЕ (од 5421 до 5428),0,0,0,0,0,0,0
НОВИ САД,623,НАБАВКА ФИНАНСИЈСКЕ ИМОВИНЕ КОЈА СЕ ФИНАНСИРА ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5430),0,0,0,0,0,0,0
КРАГУЈЕВАЦ,411,"ПЛАТЕ, ДОДАЦИ И НАКНАДЕ ЗАПОСЛЕНИХ (ЗАРАДЕ) (5174)",25141,0,827553,0,20,26496,879210
КРАГУЈЕВАЦ,412,СОЦИЈАЛНИ ДОПРИНОСИ НА ТЕРЕТ ПОСЛОДАВЦА (од 5176 до 5178),7602,0,148877,0,0,1468,157947
КРАГУЈЕВАЦ,413,НАКНАДЕ У НАТУРИ (5180),0,0,306,0,0,917,1223
КРАГУЈЕВАЦ,414,СОЦИЈАЛНА ДАВАЊА ЗАПОСЛЕНИМА (од 5182 до 5185),15997,0,52695,0,0,2863,71555
КРАГУЈЕВАЦ,415,НАКНАДА ТРОШКОВА ЗА ЗАПОСЛЕНЕ (5187),3308,0,26391,0,0,5847,35546
КРАГУЈЕВАЦ,416,НАГРАДЕ ЗАПОСЛЕНИМА И ОСТАЛИ ПОСЕБНИ РАСХОДИ (5189),0,0,10416,0,0,34,10450
КРАГУЈЕВАЦ,417,ПОСЛАНИЧКИ ДОДАТАК (5191),0,0,0,0,0,0,0
КРАГУЈЕВАЦ,418,СУДИЈСКИ ДОДАТАК (5193),0,0,0,0,0,0,0
КРАГУЈЕВАЦ,421,СТАЛНИ ТРОШКОВИ (од 5196 до 5202),3789,0,84359,0,385,28844,117377
КРАГУЈЕВАЦ,422,ТРОШКОВИ ПУТОВАЊА (од 5204 до 5208),647,0,11284,0,314,11744,23989
КРАГУЈЕВАЦ,423,УСЛУГЕ ПО УГОВОРУ (од 5210 до 5217),1357,0,200862,0,1491,16679,220389
КРАГУЈЕВАЦ,424,СПЕЦИЈАЛИЗОВАНЕ УСЛУГЕ (од 5219 до 5225),16136,0,384307,0,0,132330,532773
КРАГУЈЕВАЦ,425,ТЕКУЋЕ ПОПРАВКЕ И ОДРЖАВАЊЕ (5227 + 5228),208,0,14441,0,2817,9460,26926
КРАГУЈЕВАЦ,426,МАТЕРИЈАЛ (од 5230 до 5238),4345,0,33570,0,36,40417,78368
КРАГУЈЕВАЦ,431,АМОРТИЗАЦИЈА НЕКРЕТНИНА И ОПРЕМЕ (од 5241 до 5243),0,0,0,0,0,371,371
КРАГУЈЕВАЦ,432,АМОРТИЗАЦИЈА КУЛТИВИСАНЕ ИМОВИНЕ (5245),0,0,0,0,0,0,0
КРАГУЈЕВАЦ,433,УПОТРЕБА ДРАГОЦЕНОСТИ (5247),0,0,0,0,0,0,0
КРАГУЈЕВАЦ,434,УПОТРЕБА ПРИРОДНЕ ИМОВИНЕ (од 5249 до 5251),0,0,0,0,0,0,0
КРАГУЈЕВАЦ,435,АМОРТИЗАЦИЈА НЕМАТЕРИЈАЛНЕ ИМОВИНЕ (5253),0,0,0,0,0,21,21
КРАГУЈЕВАЦ,441,ОТПЛАТЕ ДОМАЋИХ КАМАТА (од 5256 до 5264),0,0,47439,0,0,37,47476
КРАГУЈЕВАЦ,442,ОТПЛАТА СТРАНИХ КАМАТА (од 5266 до 5271),0,0,16629,0,0,0,16629
КРАГУЈЕВАЦ,443,ОТПЛАТА КАМАТА ПО ГАРАНЦИЈАМА (5273),0,0,0,0,0,0,0
КРАГУЈЕВАЦ,444,ПРАТЕЋИ ТРОШКОВИ ЗАДУЖИВАЊА (од 5275 до 5277),6,0,470,0,0,36,512
КРАГУЈЕВАЦ,451,СУБВЕНЦИЈЕ ЈАВНИМ НЕФИНАНСИЈСКИМ ПРЕДУЗЕЋИМА И ОРГАНИЗАЦИЈАМА (5280 + 5281),0,0,295948,0,0,60871,356819
КРАГУЈЕВАЦ,452,СУБВЕНЦИЈЕ ПРИВАТНИМ ФИНАНСИЈСКИМ ИНСТИТУЦИЈАМА (5283 + 5284),0,0,7028,0,0,1792,8820
КРАГУЈЕВАЦ,453,СУБВЕНЦИЈЕ ЈАВНИМ ФИНАНСИЈСКИМ ИНСТИТУЦИЈАМА (5286 + 5287),0,0,0,0,0,0,0
КРАГУЈЕВАЦ,454,СУБВЕНЦИЈЕ ПРИВАТНИМ ПРЕДУЗЕЋИМА (5289 + 5290),0,0,0,0,0,0,0
КРАГУЈЕВАЦ,461,ДОНАЦИЈЕ СТРАНИМ ВЛАДАМА (5293 + 5294),0,0,0,0,0,0,0
КРАГУЈЕВАЦ,462,ДОТАЦИЈЕ МЕЂУНАРОДНИМ ОРГАНИЗАЦИЈАМА (5296 + 5297),0,0,0,0,0,0,0
КРАГУЈЕВАЦ,463,ТРАНСФЕРИ ОСТАЛИМ НИВОИМА ВЛАСТИ (5299 + 5300),1750,0,186656,0,2603,0,191009
КРАГУЈЕВАЦ,464,ДОТАЦИЈЕ ОРГАНИЗАЦИЈАМА ОБАВЕЗНОГ СОЦИЈАЛНОГ ОСИГУРАЊА (5302 + 5303),0,0,0,0,0,0,0
КРАГУЈЕВАЦ,465,ОСТАЛЕ ДОТАЦИЈЕ И ТРАНСФЕРИ (5305 + 5306),0,0,0,0,75,75,150
КРАГУЈЕВАЦ,471,ПРАВА ИЗ СОЦИЈАЛНОГ ОСИГУРАЊА (ОРГАНИЗАЦИЈЕ ОБАВЕЗНОГ СОЦИЈАЛНОГ ОСИГУРАЊА) (од 5309 до 5311),0,0,0,0,0,0,0
КРАГУЈЕВАЦ,472,НАКНАДЕ ЗА СОЦИЈАЛНУ ЗАШТИТУ ИЗ БУЏЕТА (од 5313 до 5321),23110,0,35882,0,185,5,59182
КРАГУЈЕВАЦ,481,ДОТАЦИЈЕ НЕВЛАДИНИМ ОРГАНИЗАЦИЈАМА (5324 + 5325),1515,0,179835,0,230,769,182349
КРАГУЈЕВАЦ,482,"ПОРЕЗИ, ОБАВЕЗНЕ ТАКСЕ И КАЗНЕ (од 5327 до 5329)",18,0,5266,0,0,843,6127
КРАГУЈЕВАЦ,483,НОВЧАНЕ КАЗНЕ И ПЕНАЛИ ПО РЕШЕЊУ СУДОВА (5331),355,0,62771,0,0,1314,64440
КРАГУЈЕВАЦ,484,НАКНАДА ШТЕТЕ ЗА ПОВРЕДЕ ИЛИ ШТЕТУ НАСТАЛУ УСЛЕД ЕЛЕМЕНТАРНИХ НЕПОГОДА ИЛИ ДРУГИХ ПРИРОДНИХ УЗРОКА (5333 + 5334),0,0,12932,0,0,1923,14855
КРАГУЈЕВАЦ,485,НАКНАДА ШТЕТЕ ЗА ПОВРЕДЕ ИЛИ ШТЕТУ НАНЕТУ ОД СТРАНЕ ДРЖАВНИХ ОРГАНА (5336),0,0,1304,0,0,69,1373
КРАГУЈЕВАЦ,489,РАСХОДИ КОЈИ СЕ ФИНАНСИРАЈУ ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5338),0,0,0,0,0,0,0
КРАГУЈЕВАЦ,511,ЗГРАДЕ И ГРАЂЕВИНСКИ ОБЈЕКТИ (од 5342 до 5345),732,0,234782,0,6470,28071,270055
КРАГУЈЕВАЦ,512,МАШИНЕ И ОПРЕМА (од 5347 до 5355),399,0,10142,0,929,9675,21145
КРАГУЈЕВАЦ,513,ОСТАЛЕ НЕКРЕТНИНЕ И ОПРЕМА (5357),0,0,0,0,0,40,40
КРАГУЈЕВАЦ,514,КУЛТИВИСАНА ИМОВИНА (5359),0,0,0,0,0,0,0
КРАГУЈЕВАЦ,515,НЕМАТЕРИЈАЛНА ИМОВИНА (5361),53,0,2009,0,0,54,2116
КРАГУЈЕВАЦ,521,РОБНЕ РЕЗЕРВЕ (5364),0,0,1812,0,0,26744,28556
КРАГУЈЕВАЦ,522,ЗАЛИХЕ ПРОИЗВОДЊЕ (од 5366 до 5368),0,0,0,0,0,24,24
КРАГУЈЕВАЦ,523,ЗАЛИХЕ РОБЕ ЗА ДАЉУ ПРОДАЈУ (5370),0,0,0,0,0,1218,1218
КРАГУЈЕВАЦ,531,ДРАГОЦЕНОСТИ (5373),0,0,0,0,0,0,0
КРАГУЈЕВАЦ,541,ЗЕМЉИШТЕ (5376),0,0,34032,0,0,15446,49478
КРАГУЈЕВАЦ,542,РУДНА БОГАТСТВА (5378),0,0,0,0,0,0,0
КРАГУЈЕВАЦ,543,ШУМЕ И ВОДЕ (5380 + 5381),0,0,0,0,0,0,0
КРАГУЈЕВАЦ,551,НЕФИНАНСИЈСКА ИМОВИНА КОЈА СЕ ФИНАНСИРА ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5384),0,0,0,0,0,0,0
КРАГУЈЕВАЦ,611,ОТПЛАТА ГЛАВНИЦЕ ДОМАЋИМ КРЕДИТОРИМА (од 5388 до 5396),0,0,215238,0,0,0,215238
КРАГУЈЕВАЦ,612,ОТПЛАТА ГЛАВНИЦЕ СТРАНИМ КРЕДИТОРИМА (од 5398 до 5404),0,0,173784,0,0,0,173784
КРАГУЈЕВАЦ,613,ОТПЛАТА ГЛАВНИЦЕ ПО ГАРАНЦИЈАМА (5406),0,0,0,0,0,0,0
КРАГУЈЕВАЦ,614,ОТПЛАТА ГЛАВНИЦЕ ЗА ФИНАНСИЈСКИ ЛИЗИНГ (5408),0,0,0,0,0,0,0
КРАГУЈЕВАЦ,621,НАБАВКА ДОМАЋЕ ФИНАНСИЈСКЕ ИМОВИНЕ (од 5411 до 5419),0,0,0,0,0,0,0
