fina,Naziv korisnika,Izvršenje 2011,Izvršenje 2012,Izvršenje 2013,Izvršenje 2014
40810,Muzički centar Crne Gore,"1,042,301.85","1,020,769.95","967,497.50","981,387.64"
40811,Biblioteka za slijepe Crne Gore,"135,721.93","136,839.89","144,039.31","152,634.74"
40812,Regionalni zavod za zaštitu spomenika kulture,"235,065.15",,,
40813,JU Narodni muzej Crne Gore,"1,524,859.99","1,530,660.66","1,482,306.29","1,588,262.75"
40814,Pomorski muzej Crne Gore,"200,784.41","180,502.62","173,948.78","177,428.79"
40815,Republički zavod za zaštitu spomenika kulture,"585,980.01",,,
40816,Centar savremene umjetnosti Crne Gore,"520,508.35","505,375.20","455,522.04","468,801.10"
40817,Uprava za zaštitu kulturnih dobara,,"164,825.75",,
40818,Centar za konzervaciju i arheologiju Crne Gore,,"675,530.20","634,612.47","619,558.54"
40901,Ministarstvo ekonomije,"37,004,078.12","16,829,612.51","8,537,417.95","14,058,609.21"
40903,Direkcija za razvoj malih i srednjih preduzeća,"2,449,265.00","121,593.11",,
40904,Zavod za metrologiju,"710,722.34","741,762.70","679,977.26","718,242.04"
40907,Odbor za kvalitet,"31,938.84","3,290.00",,
40908,Fond za energetsku efikasnost,"958,714.09","2,584,418.30","1,624,221.77",
40910,Zavod za intelektualnu svojinu,"325,476.41","305,766.20","295,422.49","311,826.44"
40911,Agencija za zaštitu konkurencije,"197,076.38","199,078.27","205,328.94","218,672.56"
40914,Uprava za ugljovodonike,0.00,0.00,,
41001,Ministarstvo saobraćaja i pomorstva,"4,386,675.04","13,817,533.05","23,247,752.03","23,748,467.75"
41007,Komisija za istraživanje nesreća,,,,
41002,Uprava pomorske sigurnosti,"880,859.75","315,508.04",,
41003,Direkcija za saobraćaj,"11,237,434.89","3,551,583.07",,
41005,Direkcija za željeznice,"8,536,288.73","5,301,209.24",,
41006,Lučka uprava,"164,220.62","60,329.09",,
41101,Ministarstvo poljoprivrede i ruralnog razvoja,"16,597,989.93","21,710,557.16","23,650,179.93","24,637,893.34"
41102,Veterinarska uprava,"1,996,596.33","664,332.99",,
41103,Uprava za šume,"5,399,801.82","1,779,214.84",,
41104,Uprava za vode,"678,726.98","134,321.68",,
41105,Agencija za duvan,"82,968.27","31,759.77",,
41106,Fitosanitarna uprava,"586,985.05","215,225.11",,
